"row_names","DATES","RETORNOS","VOLUMEN","DRAWDOWNS","PRECIO","DRAWUPS","MINIMOS","MAXIMOS","temp","drawmed","SCALE"
"2006-03-17",2006-03-17,0.0112528132033008,2391500,-0.0804911323328786,1348,0.0111275964391692,1333,1348,1615,-0.887218045112784,1.11839787502007
"2006-03-20",2006-03-20,0.0126112759643917,1288500,-0.0688949522510232,1365,0.0234432234432235,0,1365,0,2.10676434676434,1.29102400048936
"2006-03-21",2006-03-21,0,0,-0.0688949522510232,1365,0.0234432234432235,0,1365,0,-1,1.29102400048936
"2006-03-22",2006-03-22,0.0146520146520147,2090000,-0.0552523874488404,1385,0.0375451263537906,0,1385,0,1.60153429602888,1.49131919136525
"2006-03-23",2006-03-23,-0.00794223826714801,1364000,-0.0627557980900409,1374,0.029839883551674,1333,1385,1620,-1.1358024691358,1.38152360343279
"2006-03-24",2006-03-24,0.0101892285298399,1734500,-0.0532060027285129,1388,0.0100864553314121,1374,1388,1620,-0.847826086956521,1.30786068035107
"2006-03-27",2006-03-27,0.0180115273775216,2217500,-0.0361527967257843,1413,0.0276008492569002,0,1413,0,2.7364270548984,1.5574140002211
"2006-03-28",2006-03-28,-0.00283085633404105,1221500,-0.0388813096862209,1409,0.0248403122782115,1374,1413,1623,-1.07547169811321,1.51778699001254
"2006-03-29",2006-03-29,0,2050000,-0.0388813096862209,1409,0.0248403122782115,1374,1413,0,-1,1.51778699001254
"2006-03-30",2006-03-30,-0.0063875088715401,1729500,-0.0450204638472032,1400,0.0185714285714286,1374,1413,0,-1.1578947368421,1.42820984119676
"2006-03-31",2006-03-31,-0.0114285714285714,2148500,-0.0559345156889495,1384,0.00722543352601157,1374,1413,0,-1.24242424242424,1.2675082416443
"2006-04-03",2006-04-03,0.0223988439306358,2090500,-0.0347885402455661,1415,0.0219081272084806,1384,1415,1623,3.03208480565371,1.52616557815157
"2006-04-04",2006-04-04,0.00141342756183746,2016500,-0.0334242837653479,1417,0.023288637967537,0,1417,0,1.06301363626016,1.5459808322697
"2006-04-05",2006-04-05,0.00705716302046577,2368500,-0.0266030013642566,1427,0.0301331464611072,0,1427,0,1.29389904652694,1.64463805734446
"2006-04-06",2006-04-06,0.0406447091800981,4142500,0,1485,0.068013468013468,0,1485,0,2.25709811291207,2.1101614764858
"2006-04-07",2006-04-07,-0.000673400673400673,3574500,-0.000673400673400715,1484,0.0673854447439353,1384,1485,1631,0,2.10076612748293
"2006-04-10",2006-04-10,-0.0181940700808625,2775000,-0.0188552188552188,1457,0.0501029512697323,1384,1485,0,-27.9999999999982,1.84473919101513
"2006-04-11",2006-04-11,-0.0144131777625257,1541500,-0.0329966329966329,1436,0.0362116991643454,1384,1485,0,-1.75,1.64236341308363
"2006-04-12",2006-04-12,-0.0250696378830084,2900500,-0.0572390572390571,1400,0.0114285714285715,1384,1485,0,-1.73469387755102,1.28843403181254
"2006-04-13",2006-04-13,0,2566500,-0.0572390572390571,1400,0.0114285714285715,1384,1485,0,-1,1.28843403181254
"2006-04-14",2006-04-14,0.0357142857142857,3858000,-0.0235690235690234,1450,0.0455172413793103,1384,1485,0,3.98275862068965,1.77760335435063
"2006-04-17",2006-04-17,-0.0248275862068966,1905500,-0.0478114478114475,1414,0.0212164073550212,1384,1485,0,-2.02857142857144,1.42715578833728
"2006-04-18",2006-04-18,-0.000707213578500707,1761000,-0.0484848484848481,1413,0.0205237084217976,1384,1485,0,-1.01408450704225,1.4172935273526
"2006-04-19",2006-04-19,0.00990799716914367,1910500,-0.0390572390572389,1427,0.0301331464611072,1384,1485,0,1.46821158446705,1.55472737887132
"2006-04-20",2006-04-20,-0.00490539593552908,1229500,-0.0437710437710435,1420,0.0253521126760563,1384,1485,0,-1.12068965517241,1.48618144354634
"2006-04-21",2006-04-21,0.00352112676056338,1468000,-0.04040404040404,1425,0.0287719298245614,1384,1485,0,1.13489278752437,1.53517742806723
"2006-04-24",2006-04-24,-0.0294736842105263,2031000,-0.0686868686868685,1383,0,1383,1484,1642,-1.70000000000001,1.12328292773605
"2006-04-25",2006-04-25,0.0130151843817787,1651500,-0.0565656565656563,1401,0.012847965738758,1383,1401,1642,-0.823529411764704,1.30354251307957
"2006-04-26",2006-04-26,0.0235546038543897,2308500,-0.034343434343434,1434,0.0355648535564853,0,1434,0,2.76813110181311,1.62797070959199
"2006-04-27",2006-04-27,-0.00418410041841004,959000,-0.0383838383838381,1428,0.0315126050420168,1383,1434,1645,-1.11764705882353,1.56954755276834
"2006-04-28",2006-04-28,-0.0161064425770308,1257000,-0.0538720538720534,1405,0.0156583629893239,1383,1434,0,-1.40350877192982,1.34327745161982
"2006-05-01",2006-05-01,0.0106761565836299,1034500,-0.0437710437710433,1420,0.026056338028169,1383,1434,0,1.66405249679897,1.49126544633859
"2006-05-02",2006-05-02,0.0140845070422535,2482000,-0.0303030303030299,1440,0.0243055555555556,1405,1440,1645,-0.692307692307691,1.57585546417779
"2006-05-03",2006-05-03,0,0,-0.0303030303030299,1440,0.0243055555555556,0,1440,0,-1,1.57585546417779
"2006-05-04",2006-05-04,0,0,-0.0303030303030299,1440,0.0243055555555556,0,1440,0,-1,1.57585546417779
"2006-05-05",2006-05-05,0,0,-0.0303030303030299,1440,0.0243055555555556,0,1440,0,-1,1.57585546417779
"2006-05-08",2006-05-08,0.00208333333333333,2032500,-0.0282828282828278,1443,0.0263340263340264,0,1443,0,1.08345708345708,1.60508398279275
"2006-05-09",2006-05-09,-0.0103950103950104,1780500,-0.0383838383838377,1428,0.0161064425770309,1405,1443,1653,-1.35714285714286,1.45832609112281
